"","country","region","continent","latitude","longitude","population","area_sq_mi","pop_density_per_sq_mi","net_migration","GDP_per_capita","HDI","gini_coefficient","consumer_price_index","gender_inequality_index","infant_mortality_per_1k","physicians_per_10k","pub_health_spend_pct_of_gdp","avg_years_of_education","pub_education_spend_pct_of_gdp","phones_per_1k","pct_of_internet_users","prison_pop_per_100k"
"63","Kuwait","Near East","Asia",29.31166,47.481766,2418393,17820,135.7,14.18,19000,0.816271767577342,29.0033333333333,111.1876076,0.387314383182657,9.95,17.93,2.887513,7.206958294,3.760010004,211,78.7,137
"64","Kyrgyzstan","C.W. Of Ind. States","Asia",41.20438,74.766098,5213898,198500,26.3,-2.45,1600,0.655273514725433,33.39,127.529306,0.352807492481652,35.64,19.64,6.671649,10.58696477,6.79061985,84,28.3,181
"65","Latvia","Baltics","Europe",56.879635,24.603189,2274735,64589,35.2,-2.23,10200,0.818766009538997,36.03,106.7099567,0.166647312115571,9.55,28.78,5.712866,11.47896866,4.934820175,321.4,75.83,304
"66","Lebanon","Near East","Asia",33.854721,35.862285,3874050,10400,372.5,0,4800,0.768897837279365,37.6766666666667,111.8819224,0.384790711923667,24.52,32,7.174523,7.917283708,2.572679996,255.6,74.7,118
"67","Libya","Northern Africa","Africa",26.3351,17.228331,5900754,1759540,3.4,0,6400,0.724464011013942,37.6766666666667,125.7112887,0.134026356696985,24.6,19,4.298793,7.31,5.68136000666667,127.1,17.76,81
"68","Liechtenstein","Western Europe","Europe",47.166,9.555373,33987,160,212.4,4.85,25000,0.907501190352732,29.0033333333333,106.4587666,0.0642524393710849,4.7,30.5433333333333,11.3539353333333,11.82895773,2.111560106,585.5,95.21,24
"69","Lithuania","Baltics","Europe",55.169438,23.881275,3585906,65200,55,-0.71,11400,0.839421883128433,32.63,108.5,0.124680770404629,6.89,41.16,6.237117,12.38313007,5.172679901,223.4,72.13,329
"70","Luxembourg","Western Europe","Europe",49.815273,6.129583,474413,2586,183.5,8.97,55100,0.891851626668635,29.0033333333333,108.0057702,0.099852288899549,4.81,28.24,7.096672,11.71397591,5.285459916,515.4,94.67,122
"71","Madagascar","Sub-Saharan Africa","Africa",-18.766947,46.869107,18595469,587040,31.7,0,800,0.509865579019213,40.63,123.2287449,0.407348212941191,76.83,1.61,4.233579,6.046865,2.742980003,3.6,3.7,87
"72","Malawi","Sub-Saharan Africa","Africa",-13.254308,34.301525,13013926,118480,109.8,0,600,0.445415564514097,46.18,166.1245533,0.611113154547163,103.32,0.19,8.335025,4.29,5.35337019,7.9,5.83,76
"73","Malaysia","Asia","Asia",4.210484,101.975766,24385858,329750,74,0,9000,0.779245823894088,46.21,107.1166667,0.209,17.7,11.98,4.027421,9.964879036,5.940680027,179,67.5,132
"74","Maldives","Asia","Asia",3.202778,73.22068,359008,300,1196.7,0,3900,0.706365291698594,37.37,129.4445161,0.242668969436844,56.52,14.15,10.80828,5.842967389,6.194290161,90,49.28,307
"75","Malta","Western Europe","Europe",35.937496,14.375416,400214,316,1266.5,2.07,17700,0.838978340089051,28.5333333333333,106.6518099,0.226573229345438,3.89,34.95,8.703942,10.33,7.963749886,505,73.17,145
"76","Mauritania","Sub-Saharan Africa","Africa",21.00789,-10.940835,3177388,1030700,3.1,0,1800,0.505867208280143,40.46,115.4348071,0.610451396802838,70.89,1.3,3.77143,3.77,3.812410116,12.9,10.7,45
"77","Mexico","Latin Amer. & Carib","North America",23.634501,-102.552784,107449525,1972550,54.5,-4.87,9000,0.756207911551713,48.07,111.7569034,0.372811210264899,20.91,20.95,6.237916,8.468326569,5.14620018,181.6,44.39,210
"78","Moldova","C.W. Of Ind. States","Europe",47.411631,28.369885,4466706,33843,132,-0.26,1800,0.693302690570274,30.63,117.8300267,0.248234140747678,40.42,28.59,11.80155,11.1860714,8.348959923,208.1,46.6,188
"79","Mongolia","Asia","Asia",46.862496,103.846656,2832224,1564116,1.8,0,1800,0.726620588836606,36.52,136.7223215,0.325352696458653,53.79,27.63,6.009265,9.28,5.476170063,55.1,27,287
"80","Morocco","Northern Africa","Africa",31.791702,-7.09262,33241259,446550,74.4,-0.98,4000,0.627953661567307,40.88,104.1421665,0.524865831152219,41.62,6.2,6.01455,4.369,6.590469837,40.4,56.8,220
"81","Mozambique","Sub-Saharan Africa","Africa",-18.665695,35.529562,19686505,801590,24.6,0,1200,0.416427561172889,45.66,117.3995242,0.590679890998248,130.79,0.4,6.78957,3.245,5.006840229,3.5,5.94,65
"82","Namibia","Sub-Saharan Africa","Africa",-22.95764,18.49041,2044147,825418,2.5,0,7200,0.627616307670663,61.32,118.1839997,0.400989232806485,48.98,3.74,7.737475,6.22,8.495189667,62.6,14.84,191
"83","Nepal","Asia","Asia",28.394857,84.124008,28287147,147181,192.2,0,1400,0.547536524936057,32.82,130.417729,0.488570140943673,66.98,2.09,5.997744,3.31,4.716989994,15.9,15.44,48
"84","Netherlands","Western Europe","Europe",52.132633,5.291266,16491461,41526,397.1,2.91,28600,0.921793511865192,28.87,107.4741544,0.0624059806438122,5.04,31.49,12.8853,11.88930225,5.930980206,460.8,93.17,82
"85","New Zealand","Oceania","Oceania",-40.900557,174.885971,4076140,268680,15.2,4.05,21600,0.913497655649251,28.7633333333333,106.7281728,0.157201498071108,5.85,27.35,9.738794,12.503,7.354410172,441.7,85.5,192
"86","Nigeria","Sub-Saharan Africa","Africa",9.081999,8.675277,131859731,923768,142.7,0.26,900,0.514024001421638,42.95,134.9246423,0.373180782101762,98.8,4.08,3.875997,5.94666,6.24669337266667,9.3,42.68,32
"87","Norway","Western Europe","Europe",60.472024,8.468946,4610820,323802,14.2,1.74,37800,0.94387728002259,26.83,104.1941748,0.0674430017421527,3.7,37.39,9.573011,12.631,6.552840233,461.7,96.3,72
"88","Pakistan","Asia","Asia",30.375321,69.345116,165803560,803940,206.2,-2.77,2100,0.538381761878611,29.63,132.195293,0.535854151164019,72.44,8.27,2.754422,4.733353615,2.487930059,31.8,13.8,39
